#,TITRE,CODE,MILESIME,PAYS,VILLE,LIEU,ADRESSE,Mode de vente,TYPE DE LIEU,COMMENTAIRE,PRIX INDICATIF (€),DATE,IMAGE,LATITUDE,LONGITUDE
UEBF_2022-3,ABBAYE DU MONT-SAINT-MICHEL,UEBF,2022-3,France,MONT-SAINT-MICHEL,Le Mont-Saint-Michel,Le Mont-Saint-Michel,,,,,,,,
UERZ_2025_1,PHARES D'IROISE - BRETAGNE,,,,,,,,,,,,,,
UEAJ_2024-7,CHÂTEAU ROYAL DE BLOIS,UEAJ,2024-7,France,BLOIS,Château Château royal de Blois,"Pl. du Château, 41000 Blois",,Monument,,,,,,
UEAR_2023-3,CHÂTEAU DE CHAMBORD,UEAR,2023-3,France,CHAMBORD,Château de Chambord,"Le Château, 41250 Chambord",,Boutique souvenirs,Boutique du château,,,,,
UEEK_2022-3,CHÂTEAU DE CHEVERNY,UEEK,2022-3,France,CHEVERNY,Château de Cheverny,"Av. du Château, 41700 Cheverny",,Boutique souvenirs,Boutique du château,,,,,
UEGB_2023-1,CHÂTEAU DE VINCENNES,UEGB,2023-1,France,VINCENNES,Château de Vincennes,"Av. de Paris, 94300 Vincennes",,Boutique souvenirs,Boutique du château,,,,,
UEVD_2021-1,PARIS - PLACE VENDOME,UEVD,2021-1,France,BRUSSELS,,,,,,,,,,
PARI_2025-3,CATHÉDRALE NOTRE-DAME DE PARIS,PARI,2025-3,France,PARIS,,,,,,,,,,
UEMD_2025-6,VIOLLET-LE-DUC & NOTRE-DAME DE PARIS,,,,,,,,,,,,,,
ZEAZ_2024-1,BRUSSELS,ZEAZ,2024-1,Belgique,BRUSSELS,,,,,,,,,,
ZEAS_2018-1,BASILICA KOEKELBERG - BRUSSELS,ZEAS,2018-1,Belgique,BRUXELLES,,,,,,,,,,
ZEAN_2022-1,HISTORIC CENTER OF BRUGES,ZEAN,2022-1,Belgique,BRUGES,Belfort Souvenirs en Tabak,"Breidelstraat 5, 8000 Brugge, Belgique",Libre service,Boutique souvenirs,,,,,,
ZEAQ_2022-2,BELGIAN BEERS - UNESCO WORLD HERITAGE,ZEAQ,2022-2,Belgique,BRUGES,Belfort Souvenirs en Tabak,"Breidelstraat 5, 8000 Brugge, Belgique",Libre service,Boutique souvenirs,,,,,,
ZEAV_2019-1,FAMOUS HILLS OF FLANDERS - OUDE KWAREMONT,ZEAV,2019-1,Belgique,BRUGES,Belfort Souvenirs en Tabak,"Breidelstraat 5, 8000 Brugge, Belgique",Libre service,Boutique souvenirs,,,,,,
ZEAE_2021-1,ZEILSCHIP MERCATOR - OOSTENDE,,,Belgique,BRUGES,Belfort Souvenirs en Tabak,"Breidelstraat 5, 8000 Brugge, Belgique",Libre service,Boutique souvenirs,,,,,,
SEFF_2024-3,MILANO,SEFF,2024-3,Italie,MILANO,Tabacchi e Souvenirs,"Piazza Camillo Benso Conte di Cavour, 29, 22100 Como CO, Italie",,Bureau tabac,,,,,,
SEFF_2025-1,VENEZIA,SEFF,2025-1,Italie,VENEZIA,Tabacchi e Souvenirs,"Piazza Camillo Benso Conte di Cavour, 29, 22100 Como CO, Italie",,Bureau tabac,,,,,,
SEDP_2025-2,LAGO DI COMO,SEDP,2025-2,Italie,COMO,Tabacchi e Souvenirs,"Piazza Camillo Benso Conte di Cavour, 29, 22100 Como CO, Italie",,Bureau tabac,,,,,,
SEFF_2024-6,ITALIA,SEFF,2024-6,Italie,--,Tabacchi e Souvenirs,"Piazza Camillo Benso Conte di Cavour, 29, 22100 Como CO, Italie",,Bureau tabac,,,,,,
MXXA_2021-1,MEXICO,,,,,,,,,,,,,,
